index,wass_dist
0,2.3641475
1,0.773823143
2,1.282030241
3,1.216344879
4,3.026187915
5,0.180741112
6,3.896271793
7,4.389834732
9,3.394220104
10,0.504549526
11,0.641943579
12,1.528892356
13,1.274286025
14,0.088979577
15,0.325182902
17,0.492275879
18,5.701865799
19,0.897199343
20,1.904930703
21,0.18705741
22,0.39837674
23,2.916630783
24,1.05440015
25,2.029519045
26,0.589140407
28,0.331157756
29,0.084682858
30,0.093366346
31,1.262553656
32,1.648275334
33,2.972881995
34,1.455648757
35,0.523206526
36,4.027931876
37,0.177481799
38,0.194511066
39,2.65341636
40,0.106598629
41,0.347463924
43,0.303169077
44,0.864379601
45,0.066376331
46,1.335117807
47,5.699588207
48,0.872672782
49,0.436395795
50,0.333771097
51,2.226718912
52,2.545111596
53,0.279940749
54,0.299637691
55,1.783762671
56,0.692127713
57,3.018758582
58,0.371108175
59,0.499486308
60,0.310688262
62,2.346138808
63,0.236400712
64,1.00377539
65,0.380703321
66,0.559086162
68,0.227282578
69,0.572227966
70,0.553797559
71,0.516826609
72,2.203678886
74,0.448712001
75,0.244062497
76,0.379862821
77,2.069648743
78,1.872367016
79,4.635656771
80,0.422249171
81,6.548524634
83,1.822081023
84,0.378117564
85,0.550081007
86,0.91322175
87,0.922699099
88,2.510986201
89,1.886584897
91,1.102639329
92,1.341253071
93,1.336815836
94,1.91837897
95,1.85010952
96,1.492460413
97,0.385619707
98,1.215494851
99,0.443580589
100,0.303586545
101,2.315001455
102,9.41821668
103,1.519059115
104,0.416291678
105,0.198705422
106,0.849233462
107,2.549456889
108,0.527876694
109,0.28698367
111,0.622311327
112,0.130894835
113,0.86609587
114,1.944325918
115,0.931586642
117,0.700355464
119,2.720138959
120,1.824321641
122,0.429085333
123,0.29768179
124,1.015477997
125,0.098474065
126,0.238830701
127,0.854284993
129,2.908205428
130,1.282605163
131,0.405993197
132,1.269609292
133,2.57303014
134,2.399378382
135,0.141848551
136,0.726397918
137,0.47647019
138,1.552993771
139,0.144840162
140,1.675305103
141,2.711438509
142,1.108992836
143,1.289086627
144,1.543705363
146,3.086227539
147,0.379440196
149,3.336785756
150,1.569554935
151,1.137439034
152,1.472946703
153,1.802561757
154,0.735581836
155,0.040573166
156,0.262752612
157,0.097461132
158,2.83746334
159,0.803686023
160,1.221366755
161,0.902302622
162,2.088052349
163,0.226124859
164,3.134092967
165,1.109706915
166,0.521532928
167,0.207567464
168,4.571543276
169,0.790882004
170,0.777827783
171,0.355146044
172,0.16559497
174,0.773475907
175,1.486360114
176,0.322365613
177,0.073624571
178,2.211037958
179,1.788363571
180,6.418381785
182,0.86670301
183,1.644477211
184,1.765806967
186,3.18290642
187,0.257997965
188,0.321501262
189,1.288008992
191,0.127128956
192,0.660420768
193,0.953008686
194,0.248315732
195,1.094193308
196,1.232367271
197,0.705890184
198,0.05679911
199,1.757820187
200,0.745985088
201,1.156461031
202,0.50141903
203,0.267626011
204,0.777078514
205,0.637758693
206,0.939540375
207,0.662576469
208,1.0661901
209,1.530654499
210,4.289847033
211,0.128055428
213,2.406602262
214,0.226864026
215,0.19145823
217,1.759948106
218,0.151968181
219,0.265221003
220,0.274042231
221,1.820020721
222,0.701070793
223,2.059714556
224,11.92039924
225,0.420681059
226,2.485878434
227,1.375116957
228,1.760099876
229,3.131200638
230,0.385291085
231,1.460745439
233,2.868814712
234,0.258106572
235,1.130614325
236,0.957761242
237,3.200470873
238,0.65931051
239,7.05675112
240,0.848095253
241,14.064585
242,0.116855738
243,3.014797014
244,1.135750218
245,1.195798812
246,8.151551014
247,0.642436593
248,1.127026069
249,1.285256133
250,1.546225429
251,5.792947483
253,0.351048813
254,1.697109191
