index,wass_dist
0.0,0.372524735
1.0,0.382605817
2.0,1.224298052
3.0,0.146578641
4.0,1.011097317
5.0,0.046992123
6.0,0.308106049
7.0,0.552595465
8.0,0.207674794
9.0,17.79909942
10.0,2.10266894
11.0,0.478013114
12.0,0.999397933
13.0,0.565156082
17.0,0.120084033
32.0,0.691534724
34.0,1.056541546
52.0,0.986623722
64.0,1.263570994
66.0,0.14879585
80.0,1.487667466
84.0,0.910355715
125.0,1.2755649
128.0,0.951182939
135.0,1.658912578
255.0,0.921827467
262.0,3.60192465
275.0,0.625846003
322.0,1.103699427
340.0,0.738704951
345.0,0.679761254
355.0,0.151747305
374.0,10.35170429
381.0,1.915148843
382.0,1.217854891
404.0,3.145055063
407.0,0.400961121
418.0,1.715530944
432.0,4.517490703
452.0,1.027689776
472.0,1.255121958
476.0,0.132136394
479.0,2.357054058
486.0,1.712222946
487.0,1.766627257
488.0,2.297410626
489.0,0.804512699
490.0,0.464524534
491.0,1.260986376
492.0,0.213426449
493.0,0.921283831
494.0,3.454655805
495.0,0.339187694
496.0,6.157574154
498.0,0.654931752
499.0,0.336182164
500.0,0.712390489
501.0,0.847237889
502.0,0.633399561
503.0,2.025048294
504.0,5.46745294
505.0,4.753946758
506.0,0.33284929
507.0,0.413879537
508.0,0.607538827
509.0,0.411826688
510.0,2.656436662
511.0,0.450952765
512.0,0.879246069
513.0,0.581422196
514.0,0.243818931
515.0,0.778859961
516.0,6.572296754
517.0,0.355947448
518.0,4.017965042
519.0,0.613602126
520.0,0.815021864
521.0,3.454057873
522.0,0.178419535
523.0,3.916309817
524.0,4.459938914
525.0,7.023799667
526.0,0.72317564
527.0,2.322761116
529.0,0.399266241
530.0,1.936576147
531.0,1.49475137
532.0,0.933085487
533.0,0.281290523
534.0,1.868308998
535.0,0.269734527
536.0,0.204163166
537.0,0.465116378
538.0,1.023663146
539.0,1.417207198
540.0,0.664313363
541.0,0.178339377
542.0,2.007167804
543.0,0.112914275
544.0,1.122214291
545.0,0.413729852
546.0,17.96126947
547.0,0.52953696
548.0,1.065884272
549.0,0.515313176
550.0,1.505034388
551.0,0.298375566
552.0,1.013035074
553.0,5.465408428
554.0,0.757228351
555.0,1.059726987
556.0,0.815494108
557.0,0.932165981
558.0,0.718545003
559.0,0.346790188
560.0,0.659951157
561.0,4.294895172
563.0,0.400061091
564.0,11.6234163
565.0,2.747845691
566.0,3.696789942
567.0,5.650830217
568.0,4.443034496
570.0,3.754149555
571.0,3.099736605
572.0,0.34067911
573.0,1.394015114
574.0,11.54992272
575.0,1.028231751
576.0,3.103381819
577.0,1.252459805
578.0,0.220599499
579.0,0.615453607
580.0,0.251123153
581.0,0.063588258
582.0,1.090157167
583.0,5.692660385
584.0,1.555509554
585.0,6.884657066
586.0,0.186133158
587.0,0.390901658
588.0,0.885562789
589.0,1.299887971
590.0,0.413145968
592.0,0.493995658
593.0,0.338172669
594.0,0.715448792
595.0,0.176795938
596.0,0.744775886
597.0,0.082103309
598.0,2.679846745
599.0,0.510991619
600.0,3.105186783
601.0,1.310050809
602.0,0.371494069
603.0,2.487121601
604.0,8.403677306
606.0,0.880029259
608.0,2.41264064
609.0,0.632167464
610.0,0.226943558
611.0,15.49629579
613.0,0.467255589
614.0,1.246470991
615.0,0.659377089
616.0,0.604707851
617.0,6.578728839
618.0,3.171318171
619.0,18.62624479
621.0,0.623156011
622.0,3.213835586
623.0,1.415496753
624.0,0.396390851
625.0,0.553780194
627.0,12.27543812
628.0,0.539709664
629.0,0.283824389
630.0,0.824311673
631.0,1.026199134
632.0,1.004919516
633.0,0.174640166
634.0,1.568429345
635.0,1.229963914
636.0,0.331345158
637.0,0.370547156
638.0,0.656581151
639.0,4.280670076
640.0,0.673198491
641.0,0.061574631
642.0,0.743070995
643.0,0.376900703
644.0,0.830642314
645.0,0.837854323
646.0,5.189185485
647.0,2.499995931
648.0,0.970796153
649.0,0.42566999
651.0,1.982689382
653.0,1.406193337
655.0,1.073978506
656.0,1.288113611
657.0,1.943937183
658.0,0.339841115
659.0,0.867235407
660.0,0.77149312
662.0,2.78738179
663.0,0.610093206
664.0,2.373645106
665.0,0.302959696
666.0,5.578799888
667.0,1.219421728
668.0,3.58930589
669.0,0.990082391
670.0,0.148693126
671.0,5.957336235
672.0,0.510083379
674.0,0.879646423
675.0,0.800810678
676.0,0.619565542
677.0,2.647119467
678.0,0.496172149
679.0,0.899446492
680.0,0.447402577
681.0,0.400508503
682.0,4.074403867
683.0,0.808509936
684.0,0.7903854
685.0,0.101214431
686.0,0.575507265
687.0,0.681811332
688.0,1.423948108
689.0,0.107178839
690.0,1.817867207
691.0,1.678413315
692.0,0.845317485
693.0,14.84993728
694.0,0.633332216
695.0,0.988305677
696.0,1.154797162
697.0,1.508590975
698.0,0.855847318
699.0,13.39468108
700.0,1.025036097
701.0,1.170648921
702.0,2.805349462
703.0,7.554343912
704.0,10.51986204
705.0,0.611489738
706.0,0.271958273
707.0,0.951426862
708.0,7.594379965
709.0,0.185884394
